X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
16.86736689,41.1255957600001,304,Puglia,Italy,2020/12/12 01:27:11+00,41.12559576,16.86736689,70319,18460,1868,49991,,,"Puglia, Italy"
9.11061630600005,39.21531192,305,Sardegna,Italy,2020/12/12 01:27:11+00,39.21531192,9.110616306,25477,9849,563,15065,,,"Sardegna, Italy"
13.3623567,38.11569725,306,Sicilia,Italy,2020/12/12 01:27:11+00,38.11569725,13.3623567,76366,38033,1923,36410,,,"Sicilia, Italy"
11.2558888500001,43.76923077,307,Toscana,Italy,2020/12/12 01:27:11+00,43.76923077,11.25588885,111097,87191,3082,20824,,,"Toscana, Italy"
12.3882469800001,43.1067584100001,308,Umbria,Italy,2020/12/12 01:27:11+00,43.10675841,12.38824698,25834,20238,507,5089,,,"Umbria, Italy"
7.32014936600007,45.7375028600001,309,Valle d'Aosta,Italy,2020/12/12 01:27:11+00,45.73750286,7.320149366,6812,5749,347,716,,,"Valle d'Aosta, Italy"
12.3384521300001,45.4349048500001,310,Veneto,Italy,2020/12/12 01:27:11+00,45.43490485,12.33845213,181451,91699,4659,85093,,,"Veneto, Italy"
-77.2975,18.1096,311,,Jamaica,2020/12/12 01:27:11+00,18.1096,-77.2975,11509,7667,270,3572,,,Jamaica
137.211621,35.035551,312,Aichi,Japan,2020/12/12 01:27:11+00,35.035551,137.211621,12332,9717,127,2488,,,"Aichi, Japan"
140.408228,39.748679,313,Akita,Japan,2020/12/12 01:27:11+00,39.748679,140.408228,90,89,1,0,,,"Akita, Japan"
140.828896,40.781541,314,Aomori,Japan,2020/12/12 01:27:11+00,40.781541,140.828896,364,291,6,67,,,"Aomori, Japan"
140.198917,35.510141,315,Chiba,Japan,2020/12/12 01:27:11+00,35.510141,140.198917,7961,6891,96,974,,,"Chiba, Japan"
132.856842,33.624835,316,Ehime,Japan,2020/12/12 01:27:11+00,33.624835,132.856842,356,278,8,70,,,"Ehime, Japan"
136.224654,35.846614,317,Fukui,Japan,2020/12/12 01:27:11+00,35.846614,136.224654,331,302,11,18,,,"Fukui, Japan"
130.666949,33.526032,318,Fukuoka,Japan,2020/12/12 01:27:11+00,33.526032,130.666949,6461,5748,108,605,,,"Fukuoka, Japan"
140.223295,37.378867,319,Fukushima,Japan,2020/12/12 01:27:11+00,37.378867,140.223295,582,486,9,87,,,"Fukushima, Japan"
137.055925,35.778671,320,Gifu,Japan,2020/12/12 01:27:11+00,35.778671,137.055925,1406,1074,20,312,,,"Gifu, Japan"
